model,valid_rows,roc_auc,average_precision,precision,recall,f1,balanced_accuracy,cv_threshold
hist_gradient_boosting,82342,0.9999997549186251,0.9999961972308548,0.9997959183673469,0.9997959183673469,0.9997959183673469,0.9998915027388502,0.9102655955206375
random_forest,82342,0.9997455132979046,0.996408788987792,0.9837330552659019,0.9626530612244898,0.9730789066529139,0.9808229279160335,0.9111574172048452
extra_trees,82342,0.999499607079215,0.9924171950767804,0.9458762886597938,0.9736734693877551,0.9595736122284795,0.9850741252571378,0.8389788061411255
logistic_robust,82342,0.9875946844221534,0.7636280904254048,0.6581327396688466,0.9653061224489796,0.7826590551832547,0.9667895762938321,0.7927534508220383
