feature_name,importance
mean50__2ffy1,0.06682253446396601
mean50__2fzs4,0.06447484992676583
mean20__2fzs4,0.04337298635571591
mean50__2ffy4,0.042242723506535206
mean20__2ffy1,0.038132297374543364
mean50__2fzg1,0.032124174780654054
current__2fzs4,0.02947348811852152
mean20__2fn4,0.02851474128879334
mean20__2ffy4,0.02831813523336114
mean50__2fn4,0.026115753329167317
mean5__2fzs4,0.025675346584026617
mean20__2fzg1,0.022134286848860305
mean50__2fyj4,0.021750568951583366
mean50__2fn3,0.021259785080405078
mean50__2fn1,0.01892679047222916
mean50__2fyj1,0.01840039642501766
mean50__2fn2,0.017626955766288553
mean5__2ffy1,0.01599202167443801
mean50__2fzs1,0.015751958872501106
mean20__2fn3,0.015590917603879926
mean20__2fyj4,0.01550310736742077
mean20__2fn2,0.01546215779714184
mean50__2fzg4,0.013688309263483535
mean50__2fzg3,0.01287866534307215
mean5__2fn1,0.012123190485661491
mean5__2fn3,0.012101706519692923
mean20__2fzg3,0.011368107023680121
mean20__2fn1,0.01059914996354845
current__2fzg3,0.009778094744721237
mean5__2fzg3,0.009461429431456109
mean5__2fn4,0.009399445015954865
current__2fn4,0.009339388230024245
mean5__2fzs1,0.009336871860658956
current__2fzg1,0.009313476015811515
mean5__2fzg1,0.009268629213996802
mean20__2fzs1,0.00923892116811912
mean5__2fyj4,0.00920706166292269
mean50__2fyj3,0.009121324136391662
mean20__2fyj1,0.009111374650162858
current__2fhsw4,0.008526123490833298
mean50__2fhsw2,0.006241195795327694
mean5__2fhsw2,0.006204461834189345
mean20__2fzs3,0.00619789614391456
mean5__2fzg4,0.006162139687247138
mean20__2fhsw4,0.006149824255926787
current__2fn1,0.006133181961027497
current__2fyj4,0.006125696884492951
mean20__2fhsw3,0.006109317700197266
current__2fzs1,0.00610042964239191
mean5__2fn2,0.006084075847868677
mean20__2fyj3,0.006043322050586677
mean20__2fzg4,0.006005896228207323
mean50__2fzs3,0.005984633017409413
mean50__2fsh1,0.005975862785178999
mean20__2fsh1,0.005844252242571276
mean5__2fsh1,0.005732930470257148
mean5__2fhsw3,0.005261833437914064
mean50__2fhsw4,0.004894975373649302
mean50__2fhsw3,0.004820623521351752
current__2fhsw2,0.004552969834190213
mean20__2fhsw2,0.00425663301819831
mean50__2fhw2,0.0036385361745992556
mean50__2fzs2,0.0036201254173205658
