feature_group,features,mean_missing_ratio,median_variance
rolling,48,7.359976448075366e-05,0.008297863183543086
change,24,0.0003621321745103749,0.0030313256138470024
lag,24,0.00022079929344226098,7.312309503555298
slope,16,0.0001471995289615073,3.637965528469067e-05
current,8,0.0,7.408701658248901
time,8,0.0,23263692.0
