fold,train_files,test_files,train_rows_sampled,test_rows,threshold,roc_auc,average_precision,precision,recall,f1,balanced_accuracy
1,19,4,37000,58328,0.7831662213743787,0.9998171424635836,0.9619868369181525,0.6509186351706037,0.992,0.786053882725832,0.9948549881194255
2,18,5,33750,65555,0.15377073149997678,0.9616854929904731,0.5607485561703832,0.29186046511627906,0.502,0.36911764705882355,0.7415661838742158
3,18,5,34000,75425,0.7341218810171368,0.9980325677937729,0.8023690338885479,0.9576923076923077,0.332,0.49306930693069306,0.6659263475058588
4,18,5,34250,78416,0.3369331483213217,0.9655019251501619,0.506809230464617,0.10362136966654716,0.578,0.17573730617208877,0.7729570819857282
5,19,4,36500,32209,0.6339769954882505,0.9660452433592873,0.6218753204796797,0.3176620076238882,0.5,0.3885003885003885,0.7327934249735653
