strategy,file_name,group,rows,positive_rows,mean_prediction_score,max_prediction_score,predicted_positive_rows,contains_pre_fault,file_detected
oversample_20,Healthy 4.xlsx,healthy,18263,0,5.799832938961676e-09,7.618591639332282e-06,0,0,0
oversample_20,Healthy 5.xlsx,healthy,19127,0,6.912080032840335e-09,3.07525245545186e-06,0,0,0
oversample_20,Healthy 6.xlsx,healthy,19982,0,6.038640315564991e-07,7.060241913124474e-05,0,0,0
oversample_20,Healthy 7.xlsx,healthy,12463,0,9.180167980390397e-07,0.007447784987937795,0,0,0
oversample_20,Healthy 8.xlsx,healthy,9152,0,7.600315791881577e-08,7.788880503977984e-05,0,0,0
oversample_20,Healthy 9.xlsx,healthy,20462,0,0.0005266330772632825,0.9809858670451762,15,0,1
oversample_30,Defect15(01).xlsx,defective,7379,30,0.0040660469623055055,0.9999999529965042,30,1,1
oversample_30,Defect15(02).xlsx,defective,2340,30,0.012821489618692427,0.9999999700416682,30,1,1
oversample_30,Defect15(03).xlsx,defective,500,30,0.06000059284116162,0.9999999683954132,30,1,1
oversample_30,Defect15(04).xlsx,defective,500,30,0.01846739301639836,0.9999504181746602,15,1,1
oversample_30,Defect16(01).xlsx,defective,574,30,0.05227959659370265,0.9999999520493822,30,1,1
oversample_30,Defect16(02).xlsx,defective,2549,30,0.011770418769524733,0.9999999484867552,30,1,1
oversample_30,Defect16(03).xlsx,defective,510,30,0.05883053746960586,0.9999999010627576,30,1,1
oversample_30,Defected 1.xlsx,defective,7379,30,0.004067708396555295,0.999999904603655,30,1,1
oversample_30,Defected 2.xlsx,defective,2340,30,0.012824022257188329,0.9999998747751627,30,1,1
oversample_30,Defected 3.xlsx,defective,500,30,0.060000387168457174,0.9999999669959103,30,1,1
oversample_30,Defected 4.xlsx,defective,500,30,0.01846739301639836,0.9999504181746602,15,1,1
oversample_30,Defected 5.xlsx,defective,574,30,0.052273315836577995,0.9999998921505177,30,1,1
oversample_30,Defected 6.xlsx,defective,2549,30,0.011770232995945547,0.9999999467226137,30,1,1
oversample_30,Defected 7.xlsx,defective,510,30,0.05883390088437842,0.9999998195909986,30,1,1
oversample_30,Healthy 1.xlsx,healthy,19620,0,2.1467270083093482e-08,4.5202187812692954e-05,0,0,0
oversample_30,Healthy 2.xlsx,healthy,11599,0,1.1283627692932718e-06,0.009972218217139311,0,0,0
oversample_30,Healthy 3.xlsx,healthy,11723,0,1.1869947548651943e-08,6.622668726645821e-06,0,0,0
oversample_30,Healthy 4.xlsx,healthy,18263,0,9.562524282392036e-09,3.451319838608873e-05,0,0,0
oversample_30,Healthy 5.xlsx,healthy,19127,0,8.263187679734404e-09,3.6293088949129783e-06,0,0,0
oversample_30,Healthy 6.xlsx,healthy,19982,0,1.5507737386582182e-08,2.3922051777621672e-06,0,0,0
oversample_30,Healthy 7.xlsx,healthy,12463,0,1.235655771885711e-07,0.000536814482570433,0,0,0
oversample_30,Healthy 8.xlsx,healthy,9152,0,9.84385301766463e-08,9.220603227458196e-05,0,0,0
oversample_30,Healthy 9.xlsx,healthy,20462,0,0.0006362726114674406,0.9991355482882294,16,0,1
