feature,defective,healthy
dtg,0.0,0.19561969161589543
ds,0.0,0.19561969161589543
ttg,0.0,0.19561969161589543
phj,0.0,0.19561969161589543
zhx,0.0,0.19561969161589543
mh,0.0,0.19561969161589543
dh,0.0,0.19561969161589543
fx,0.0,0.19561969161589543
wd,0.0,0.19561969161589543
ctd,0.0,0.19561969161589543
yfhx,0.0,0.19561969161589543
jd,0.0,0.19561969161589543
hp,0.0,0.19561969161589543
hc,0.0,0.19561969161589543
gcj,0.0,0.19561969161589543
dp,0.0,0.19561969161589543
zjsl,0.0,0.19561969161589543
xjsl,0.0,0.19561969161589543
2yz,0.0,0.19561969161589543
yz,0.0,0.19561969161589543
yjsl,0.0,0.19561969161589543
ias,0.0,0.19561969161589543
tas,0.0,0.19561969161589543
fs,0.0,0.19561969161589543
rh,0.0,0.19561969161589543
2fn3,0.0,0.19561969161589543
fn2,0.0,0.19561969161589543
fn3,0.0,0.19561969161589543
2fn2,0.0,0.19561969161589543
fn4,0.0,0.19561969161589543
2fn4,0.0,0.19561969161589543
2fn1,0.0,0.19561969161589543
fn1,0.0,0.19561969161589543
locaz,0.0,0.19561969161589543
gsel,0.0,0.19561969161589543
sat,0.0,0.19561969161589543
jdl,0.0,0.19561969161589543
2fpw3,0.0,0.19561969161589543
fpw3,0.0,0.19561969161589543
2fpw2,0.0,0.19561969161589543
fpw1,0.0,0.19561969161589543
fpw2,0.0,0.19561969161589543
2fpw1,0.0,0.19561969161589543
tat,0.0,0.19561969161589543
2fpw4,0.0,0.19561969161589543
fpw4,0.0,0.19561969161589543
fyj2,0.0,0.19561969161589543
aoat,0.0,0.19561969161589543
2fyj2,0.0,0.19561969161589543
2fyj3,0.0,0.19561969161589543
fyj3,0.0,0.19561969161589543
2fyj1,0.0,0.19561969161589543
fyj1,0.0,0.19561969161589543
m,0.0,0.19561969161589543
ljp,0.0,0.19561969161589543
2fyj4,0.0,0.19561969161589543
fyj4,0.0,0.19561969161589543
jdw,0.0,0.19561969161589543
2rhsy,0.0,0.19561969161589543
rhsy,0.0,0.19561969161589543
