threshold,file_rate_threshold,healthy_file_false_alarm_rate,defective_file_detection_rate,healthy_row_false_alarm_rate,defective_row_detection_rate,row_roc_auc,objective,w_pca,w_iso,w_maha
1.911752700805664,0.03,0.09090909090909091,1.0,0.015003996734823,0.06364117335841514,0.6633997987568214,0.7087589627096393,0.0,1.0,0.0
1.924777865409851,0.03,0.09090909090909091,1.0,0.01434870169670573,0.06258303450708365,0.6633997987568214,0.708731300889563,0.0,1.0,0.0
2.607700634002686,0.03,0.18181818181818182,1.0,0.020003445948045272,0.06525189583210864,0.6503819436472159,0.641109853824284,0.2,0.8,0.0
2.693647575378418,0.02,0.18181818181818182,1.0,0.017043320086205193,0.056974898595026746,0.6503819436472159,0.6404603294110895,0.2,0.8,0.0
2.7720367431640627,0.02,0.18181818181818182,1.0,0.015003996734823,0.05285991417318206,0.6503819436472159,0.6402509464180893,0.2,0.8,0.0
3.100353527069092,0.01,0.18181818181818182,1.0,0.010004547521600727,0.03739932984539416,0.6503819436472159,0.6389317486115657,0.2,0.8,0.0
3.748145866394043,0.005,0.18181818181818182,1.0,0.005005098308378455,0.023373111516077832,0.6503819436472159,0.6378277057048127,0.2,0.8,0.0
2.1982200145721436,0.02,0.09090909090909091,0.8571428571428571,0.007004877993667364,0.0358473928634413,0.6633997987568214,0.6204754336693388,0.0,1.0,0.0
3.474321699142456,0.01,0.09090909090909091,0.8571428571428571,0.007004877993667364,0.029839515607548057,0.6503819436472159,0.6163197883035534,0.2,0.8,0.0
5.567476153373719,0.01,0.09090909090909091,0.8571428571428571,0.007004877993667364,0.02327905472929281,0.6427668564785719,0.6134319473796541,0.4,0.6,0.0
6.736673831939696,0.01,0.09090909090909091,0.8571428571428571,0.010004547521600727,0.031579566163070956,0.640042205631577,0.6133959274773852,0.6,0.4,0.0
8.495026993751527,0.01,0.09090909090909091,0.8571428571428571,0.010004547521600727,0.030615484098524486,0.6396164705796116,0.613144881404712,0.8,0.2,0.0
7.321121788024902,0.01,0.09090909090909091,0.8571428571428571,0.007004877993667364,0.023420139909470342,0.640042205631577,0.612771947444932,0.6,0.4,0.0
10.312990188598633,0.01,0.09090909090909091,0.8571428571428571,0.010004547521600727,0.02912233260831227,0.6226372887111908,0.608676113214075,1.0,0.0,0.0
1.66519775390625,0.03,0.2727272727272727,1.0,0.026302187047189715,0.09932396684498265,0.6633997987568214,0.5845790163974238,0.0,1.0,0.0
1.8008244037628174,0.03,0.2727272727272727,1.0,0.020003445948045272,0.0775968490976427,0.6633997987568214,0.5825796969551517,0.0,1.0,0.0
1.911752700805664,0.02,0.2727272727272727,1.0,0.015003996734823,0.06364117335841514,0.6633997987568214,0.581486235436912,0.0,1.0,0.0
1.924777865409851,0.02,0.2727272727272727,1.0,0.01434870169670573,0.06258303450708365,0.6633997987568214,0.5814585736168357,0.0,1.0,0.0
2.607700634002686,0.02,0.2727272727272727,1.0,0.020003445948045272,0.06525189583210864,0.6503819436472159,0.5774734901879203,0.2,0.8,0.0
3.474321699142456,0.005,0.2727272727272727,1.0,0.007004877993667364,0.029839515607548057,0.6503819436472159,0.5747613467451118,0.2,0.8,0.0
3.8813643932342528,0.02,0.2727272727272727,1.0,0.020003445948045272,0.051249191699488564,0.6427668564785719,0.5734693127758663,0.4,0.6,0.0
3.8873955726623537,0.02,0.2727272727272727,1.0,0.019907411330390156,0.05101404973252601,0.6427668564785719,0.5734532484043529,0.4,0.6,0.0
5.714667720794688,0.005,0.2727272727272727,1.0,0.0052593075904067066,0.019869496208335783,0.6427668564785719,0.5717111861237211,0.4,0.6,0.0
2.1982200145721436,0.01,0.18181818181818182,0.8571428571428571,0.007004877993667364,0.0358473928634413,0.6633997987568214,0.5568390700329751,0.0,1.0,0.0
3.8548183517456147,0.005,0.18181818181818182,0.8571428571428571,0.0041859795107318685,0.022103344894480043,0.6503819436472159,0.5520867787568166,0.2,0.8,0.0
